digraph
74
AK Alaska
AL Alabama
AZ Arizona
AR Arkansas
CA California
CO Colorado
CT Connecticut
DE Delaware
FL Florida
GA Georgia
HI Hawaii
ID Idaho
IL Illinois
IN Indiana
IA Iowa
KS Kansas
KY Kentucky
LA Louisiana
ME Maine
MD Maryland
MA Massachusetts
MI Michigan
MN Minnesota
MS Mississippi
MO Missouri
MT Montana
NE Nebraska
NV Nevada
NH NewHampshire
NJ NewJersey
NM NewMexico 
NY NewYork
NC NorthCarolina
ND NorthDakota
OH Ohio
OK Oklahoma
OR Oregon
PA Pennsylvania
RI RhodeIsland
SC SouthCarolina
SD SouthDakota
TN Tennessee
TX Texas
UT Utah
VA Virginia
VT Vermont
WA Washington
WV WestVirginia
WI Wisconsin
WY Wyoming
01 Seahawks
02 Saints
03 Cardinals
04 49ers
05 Patriots
06 Gaints
07 Dolphins
08 Falcons
09 Bears
10 Colts
11 Chiefs
12 Bengals
13 Ravens
14 Lions
15 Bills
16 Browns
17 Cowboys
18 Panthers
19 Vikings
20 Titans
21 WashingtonFT
22 Packers
23 Steelers
24 Broncos
